age,gender,cgpa,branch,internships_count,projects_count,coding_skill_score,aptitude_score,communication_skill_score,logical_reasoning_score,mock_interview_score,attendance_percentage,backlogs,placement_status,salary_package_lpa
25,Male,7.45,MECH,3,3,57,65,75,63,52,90.8,0,Placed,12.23
24,Female,7.81,AIML,0,1,34,42,64,89,91,81.1,0,Not Placed,0.0
24,Female,7.08,MECH,3,2,41,57,62,41,39,75.9,0,Not Placed,0.0
21,Female,5.36,MBA,1,2,37,98,77,68,33,65.0,1,Not Placed,0.0
24,Female,7.11,ECE,4,3,88,40,67,78,68,76.2,0,Placed,14.34
21,Female,8.95,CSE,2,4,94,58,80,78,63,82.0,0,Placed,16.81
20,Female,9.02,AIML,0,0,89,52,50,56,54,97.9,0,Placed,15.58
23,Male,9.46,ECE,0,2,84,82,68,98,81,66.2,0,Placed,16.1
23,Female,5.26,MECH,2,2,72,72,83,62,44,90.3,3,Not Placed,0.0
23,Female,7.64,MBA,3,1,70,69,89,51,41,69.6,0,Placed,13.35
24,Female,5.54,ECE,2,2,39,61,59,52,30,98.3,1,Not Placed,0.0
20,Male,6.0,CSE,4,2,36,66,48,44,38,83.8,1,Not Placed,0.0
24,Male,9.5,ECE,1,0,50,89,63,54,88,77.3,0,Placed,14.61
24,Female,7.48,MBA,2,1,73,90,86,92,43,73.9,0,Placed,12.82
20,Male,8.79,MECH,2,4,66,52,88,99,60,68.1,0,Placed,14.84
20,Female,5.32,AIML,1,2,73,47,80,41,82,88.6,2,Not Placed,0.0
20,Male,7.08,AIML,0,2,94,92,52,45,92,85.4,0,Placed,12.33
20,Male,8.37,CIVIL,4,4,35,99,97,75,39,95.6,0,Placed,13.1
23,Female,5.67,MECH,2,3,67,89,41,62,72,83.9,2,Not Placed,0.0
22,Male,6.63,CIVIL,2,4,72,41,56,52,47,66.8,0,Not Placed,0.0
22,Male,5.32,CIVIL,0,4,86,90,89,41,96,87.3,3,Not Placed,0.0
20,Female,8.26,MBA,4,1,99,58,97,95,88,95.2,0,Placed,16.66
22,Female,9.85,MBA,1,4,94,63,66,44,52,99.6,0,Placed,18.11
22,Male,9.14,MBA,1,1,84,44,77,79,75,87.4,0,Placed,16.03
20,Female,9.87,CSE,3,4,64,47,41,55,78,71.6,0,Placed,17.02
22,Male,9.23,MECH,4,2,53,59,72,78,52,82.6,0,Placed,15.75
24,Female,9.28,AIML,4,2,67,96,44,74,41,80.6,0,Placed,16.64
21,Male,7.89,MECH,2,3,32,74,53,96,58,80.5,0,Placed,11.33
21,Female,7.59,MBA,3,4,80,41,66,80,88,63.1,0,Placed,13.97
20,Male,7.03,CSE,1,0,90,45,89,84,82,67.8,0,Not Placed,0.0
23,Male,9.09,MECH,4,4,69,98,98,73,97,81.0,0,Placed,16.43
20,Male,5.91,MECH,4,0,83,55,75,58,92,91.9,1,Not Placed,0.0
23,Female,5.28,CIVIL,0,4,95,86,66,82,58,67.3,2,Not Placed,0.0
21,Male,9.74,MECH,1,1,89,75,53,65,32,66.6,0,Placed,17.49
20,Female,5.02,CIVIL,0,2,44,41,54,81,66,90.4,2,Not Placed,0.0
25,Female,9.88,CIVIL,3,0,75,53,66,82,92,87.6,0,Placed,17.48
24,Male,8.64,ECE,4,0,84,77,98,56,52,79.4,0,Placed,16.59
22,Male,6.64,MBA,3,4,33,91,95,88,78,62.0,0,Not Placed,0.0
23,Male,8.49,CSE,0,2,53,65,97,74,32,78.9,0,Placed,12.36
25,Female,9.09,CIVIL,1,3,69,98,98,51,51,93.4,0,Placed,14.94
22,Male,6.23,MECH,4,0,56,59,93,74,65,60.4,1,Not Placed,0.0
22,Male,8.85,CIVIL,1,2,81,68,47,76,39,64.1,0,Placed,15.33
20,Female,9.02,CIVIL,3,2,66,97,60,45,38,92.4,0,Placed,15.58
22,Female,6.25,CIVIL,2,0,30,43,73,91,85,81.0,1,Not Placed,0.0
24,Male,5.21,AIML,1,1,38,59,88,49,84,86.5,1,Not Placed,0.0
25,Male,6.02,AIML,1,1,47,63,67,82,48,89.8,1,Not Placed,0.0
22,Female,6.0,AIML,1,4,68,40,63,62,62,72.0,1,Not Placed,0.0
20,Female,5.33,AIML,4,4,59,64,56,58,49,71.9,1,Not Placed,0.0
24,Female,8.63,ECE,3,2,49,53,97,91,64,70.6,0,Placed,14.02
21,Female,6.9,CIVIL,3,0,44,74,96,82,60,66.7,0,Not Placed,0.0
25,Male,9.42,ECE,4,1,93,92,91,92,79,72.2,0,Placed,18.43
22,Male,6.26,MECH,1,2,54,60,45,47,75,98.1,2,Not Placed,0.0
20,Male,7.27,MBA,1,1,78,75,77,48,39,63.4,0,Not Placed,0.0
21,Male,8.2,CSE,2,0,96,91,58,42,96,69.6,0,Placed,15.38
21,Female,9.39,ECE,1,1,55,62,40,72,63,72.7,0,Placed,14.63
23,Male,7.62,AIML,0,3,74,85,77,41,80,66.2,0,Placed,12.23
24,Male,6.87,AIML,1,4,35,59,65,73,68,63.1,0,Not Placed,0.0
22,Female,9.34,MECH,2,1,61,65,44,74,97,66.5,0,Placed,15.53
20,Male,6.55,CIVIL,0,0,46,90,43,57,41,81.1,0,Not Placed,0.0
23,Male,5.4,CSE,2,0,75,66,64,66,55,83.9,3,Not Placed,0.0
24,Male,7.23,ECE,2,3,82,80,84,88,100,68.6,0,Placed,12.9
23,Female,8.93,CIVIL,3,0,33,53,91,83,96,80.2,0,Placed,13.56
25,Female,5.15,CIVIL,4,3,57,75,88,66,31,60.2,2,Not Placed,0.0
24,Male,7.93,MBA,2,2,100,43,97,77,41,84.1,0,Placed,15.44
24,Male,7.97,MBA,1,1,45,65,84,78,88,60.1,0,Not Placed,0.0
22,Female,9.64,ECE,3,0,68,83,61,99,61,85.7,0,Placed,17.04
24,Female,6.43,ECE,0,4,59,79,87,56,80,79.3,2,Not Placed,0.0
23,Female,6.39,ECE,4,1,86,99,52,48,40,64.4,1,Not Placed,0.0
24,Female,7.2,ECE,3,3,85,55,62,71,61,63.5,0,Placed,13.49
22,Female,6.78,AIML,2,1,68,82,72,62,93,60.3,0,Not Placed,0.0
22,Male,8.68,CIVIL,3,1,71,78,64,83,74,82.1,0,Placed,15.19
25,Male,8.21,CIVIL,1,0,47,59,49,53,83,92.3,0,Not Placed,0.0
23,Male,8.79,AIML,1,4,51,85,57,50,35,94.3,0,Placed,13.45
21,Female,9.1,CIVIL,1,2,33,63,94,43,55,82.8,0,Placed,12.82
21,Female,9.61,ECE,4,4,32,49,66,90,37,95.5,0,Placed,15.03
24,Male,7.15,CSE,3,3,90,41,95,77,37,94.5,0,Placed,13.78
25,Male,9.92,MBA,3,4,53,100,95,90,67,87.9,0,Placed,16.58
20,Male,6.08,MBA,2,4,81,84,88,87,37,74.5,3,Not Placed,0.0
24,Female,8.57,CIVIL,0,3,96,48,65,55,46,93.1,0,Placed,15.09
25,Female,7.67,CSE,1,4,60,57,88,75,32,75.7,0,Placed,12.06
23,Female,9.08,MBA,0,2,82,81,81,64,70,76.1,0,Placed,15.26
23,Female,7.38,CSE,0,1,90,85,91,44,82,87.1,0,Placed,12.72
23,Female,8.92,AIML,1,2,87,69,41,49,99,97.1,0,Placed,15.66
23,Female,9.65,MECH,1,1,64,42,49,44,91,80.0,0,Placed,15.71
23,Female,8.66,CIVIL,2,1,60,68,99,80,82,67.1,0,Placed,14.14
25,Male,8.88,AIML,4,4,86,93,59,57,88,65.7,0,Placed,17.36
25,Male,5.34,AIML,1,1,39,46,77,94,52,72.1,2,Not Placed,0.0
22,Male,6.02,CSE,0,3,47,64,42,62,76,78.3,1,Not Placed,0.0
21,Male,9.87,CIVIL,2,2,85,63,49,77,64,71.9,0,Placed,17.81
23,Female,8.47,AIML,3,1,65,82,67,53,43,88.5,0,Placed,14.62
20,Male,7.81,ECE,2,4,80,45,58,91,94,81.7,0,Placed,13.73
25,Female,6.83,AIML,1,4,90,54,98,62,78,76.3,0,Placed,12.34
20,Male,5.22,ECE,1,4,48,54,56,100,65,68.5,1,Not Placed,0.0
20,Male,6.85,MECH,4,0,40,79,83,87,30,84.2,0,Not Placed,0.0
20,Female,7.49,ECE,2,2,34,66,92,74,51,87.0,0,Not Placed,0.0
22,Male,6.06,ECE,1,4,74,100,83,96,64,91.4,3,Not Placed,0.0
25,Male,5.87,CSE,0,3,74,98,62,72,32,99.6,2,Not Placed,0.0
20,Male,7.54,AIML,0,4,77,60,67,77,41,69.3,0,Placed,12.14
23,Female,7.93,MECH,2,0,43,97,66,40,66,60.6,0,Not Placed,0.0
24,Male,6.2,AIML,4,2,57,97,71,45,87,80.0,2,Not Placed,0.0
20,Female,7.94,ECE,2,1,38,84,77,60,41,97.0,0,Placed,11.43
22,Female,9.5,MBA,4,2,88,71,51,66,31,70.0,0,Placed,18.44
25,Female,7.37,ECE,0,1,67,71,59,44,94,90.2,0,Not Placed,0.0
22,Female,9.29,AIML,1,1,54,51,45,66,87,72.8,0,Placed,14.53
20,Male,9.64,MECH,3,4,77,83,42,97,89,75.6,0,Placed,17.4
25,Male,5.46,MBA,1,3,48,48,42,83,70,97.9,3,Not Placed,0.0
24,Female,5.48,MECH,0,3,31,59,62,45,64,78.4,3,Not Placed,0.0
20,Male,7.38,CSE,0,4,35,88,48,79,40,89.0,0,Not Placed,0.0
22,Male,7.94,ECE,1,0,59,54,72,64,81,82.0,0,Not Placed,0.0
21,Male,7.13,ECE,1,1,90,52,75,90,81,90.6,0,Not Placed,0.0
23,Female,6.63,CSE,0,3,31,85,51,44,91,72.7,0,Not Placed,0.0
22,Male,8.2,AIML,1,2,80,47,65,54,92,95.1,0,Placed,13.93
25,Male,5.01,ECE,3,0,42,60,76,85,44,82.0,2,Not Placed,0.0
20,Female,9.84,AIML,3,4,78,84,89,87,99,72.4,0,Placed,17.88
23,Female,6.16,MECH,2,0,37,64,87,77,69,61.5,1,Not Placed,0.0
20,Male,9.59,MBA,3,3,38,74,49,100,38,60.5,0,Placed,14.98
25,Male,5.55,MBA,0,4,52,96,83,56,99,74.1,2,Not Placed,0.0
20,Female,6.19,MBA,0,3,45,79,50,56,46,68.6,3,Not Placed,0.0
21,Female,6.17,CIVIL,2,1,45,69,58,87,52,62.1,1,Not Placed,0.0
23,Female,9.98,CSE,4,0,41,70,44,72,87,82.1,0,Placed,16.38
23,Male,5.02,MBA,2,1,40,45,63,57,80,99.6,3,Not Placed,0.0
25,Male,8.2,ECE,4,2,42,50,74,75,86,76.9,0,Placed,13.32
21,Female,9.35,CSE,4,1,64,81,67,93,45,82.1,0,Placed,16.73
22,Female,8.36,MECH,1,0,72,97,69,42,74,68.8,0,Placed,13.87
20,Male,6.81,MECH,3,2,59,98,58,64,90,68.2,0,Not Placed,0.0
24,Male,9.79,MECH,4,3,89,47,45,74,41,73.1,0,Placed,18.84
20,Female,9.47,MECH,1,2,96,47,95,84,35,93.4,0,Placed,17.09
20,Male,7.17,CIVIL,2,0,58,94,88,59,33,98.4,0,Not Placed,0.0
22,Male,7.87,AIML,2,4,54,78,94,75,64,89.6,0,Placed,12.4
20,Male,9.84,AIML,4,2,95,90,84,82,76,60.8,0,Placed,19.2
21,Male,9.91,MBA,1,3,34,94,78,70,48,77.5,0,Placed,14.3
21,Male,7.25,CIVIL,0,2,34,51,58,60,56,76.8,0,Not Placed,0.0
23,Female,9.24,AIML,3,1,78,42,90,76,40,97.4,0,Placed,16.83
25,Male,6.51,MECH,4,4,55,82,96,73,99,89.8,0,Placed,11.03
24,Male,6.86,AIML,0,0,100,84,70,77,88,88.6,0,Not Placed,0.0
20,Male,5.82,CSE,3,4,59,55,97,96,70,82.6,3,Not Placed,0.0
20,Male,6.05,MBA,0,1,57,80,83,76,72,85.8,2,Not Placed,0.0
22,Male,8.28,AIML,1,4,43,66,50,40,57,87.9,0,Placed,11.96
25,Male,7.55,CSE,4,1,47,55,56,96,92,82.1,0,Not Placed,0.0
21,Female,6.16,ECE,0,2,86,44,56,94,96,93.8,3,Not Placed,0.0
24,Male,7.01,CSE,0,0,54,98,89,70,74,61.5,0,Not Placed,0.0
23,Male,6.87,CSE,0,1,99,79,54,62,53,97.7,0,Not Placed,0.0
21,Male,9.94,MECH,4,1,34,51,45,82,93,90.9,0,Placed,15.93
25,Male,9.27,MECH,1,2,82,42,71,77,68,81.2,0,Placed,16.14
23,Female,6.94,MBA,1,1,68,74,79,88,74,94.4,0,Not Placed,0.0
22,Male,9.57,MECH,0,0,86,84,50,50,90,93.1,0,Placed,16.24
22,Female,6.71,CSE,1,3,40,42,97,78,72,76.8,0,Not Placed,0.0
20,Male,8.34,CIVIL,3,4,98,100,52,87,96,93.6,0,Placed,16.28
25,Female,9.83,MECH,1,1,54,70,56,59,71,67.5,0,Placed,15.48
24,Male,6.95,MECH,0,4,59,63,67,76,70,78.8,0,Not Placed,0.0
23,Female,8.4,CSE,3,4,31,80,88,46,76,69.3,0,Placed,12.5
21,Male,6.48,ECE,4,3,65,68,57,74,72,65.0,1,Not Placed,0.0
25,Male,6.33,ECE,2,1,66,94,67,41,52,95.8,1,Not Placed,0.0
25,Female,7.87,AIML,1,0,31,72,87,98,61,74.7,0,Not Placed,0.0
22,Female,9.9,MBA,3,1,76,77,94,72,86,87.4,0,Placed,17.84
20,Male,7.27,ECE,2,4,88,90,55,79,67,75.0,0,Placed,13.45
20,Male,9.69,MECH,4,2,33,55,75,63,44,81.8,0,Placed,15.55
23,Male,9.57,CIVIL,2,3,96,72,88,78,57,73.9,0,Placed,17.91
22,Female,6.27,AIML,4,0,75,49,79,49,42,89.7,1,Not Placed,0.0
25,Male,7.01,MBA,0,0,65,69,59,85,64,91.5,0,Not Placed,0.0
24,Male,8.22,CIVIL,0,4,94,73,78,48,31,77.2,0,Placed,14.52
22,Female,7.59,CIVIL,4,0,85,100,66,97,90,94.4,0,Placed,14.72
23,Female,5.48,MECH,2,4,64,99,79,82,94,74.2,3,Not Placed,0.0
23,Female,9.97,CSE,1,0,52,74,72,72,70,90.5,0,Placed,15.38
22,Female,8.76,CSE,2,0,73,46,41,90,33,86.0,0,Placed,15.16
23,Female,7.19,CSE,2,4,30,45,52,60,82,78.2,0,Not Placed,0.0
22,Male,8.09,ECE,1,3,95,54,41,53,43,95.6,0,Placed,14.86
21,Male,5.44,CSE,2,0,41,71,98,89,46,82.9,3,Not Placed,0.0
22,Female,7.48,MBA,2,1,42,41,76,62,43,93.6,0,Not Placed,0.0
22,Male,9.65,MECH,3,2,56,71,44,51,70,89.3,0,Placed,16.16
23,Female,9.48,ECE,4,4,49,67,45,61,91,81.3,0,Placed,16.12
23,Male,6.69,MBA,0,0,35,60,89,67,81,73.1,0,Not Placed,0.0
20,Male,7.66,CSE,4,3,37,56,71,66,56,98.0,0,Placed,11.98
20,Female,8.49,MBA,2,1,50,58,87,49,69,62.3,0,Not Placed,0.0
21,Female,6.7,CIVIL,1,4,50,53,63,57,64,95.8,0,Not Placed,0.0
20,Male,5.32,MECH,1,1,74,88,56,63,88,80.3,1,Not Placed,0.0
22,Female,7.53,MECH,0,2,99,90,48,42,78,89.9,0,Placed,13.56
23,Female,8.01,MBA,0,3,73,73,92,43,92,73.4,0,Placed,12.86
20,Male,5.03,AIML,0,4,88,87,97,69,40,75.4,2,Not Placed,0.0
20,Male,5.48,MECH,1,4,59,59,79,60,35,67.6,2,Not Placed,0.0
21,Female,6.04,CIVIL,2,0,39,60,79,61,70,98.2,1,Not Placed,0.0
25,Female,6.74,MECH,0,1,30,87,41,67,61,61.7,0,Not Placed,0.0
21,Male,7.71,AIML,0,4,39,42,48,48,50,75.5,0,Not Placed,0.0
22,Female,6.47,MECH,1,1,54,97,45,83,86,73.4,3,Not Placed,0.0
23,Female,6.38,MECH,2,2,43,53,58,80,34,92.5,3,Not Placed,0.0
21,Male,9.35,AIML,0,0,32,60,72,80,57,80.1,0,Not Placed,0.0
20,Female,5.73,MECH,2,2,97,66,96,55,99,66.8,2,Not Placed,0.0
23,Male,7.48,MBA,3,0,69,46,58,95,56,80.4,0,Not Placed,0.0
23,Male,9.76,ECE,0,0,62,81,72,76,82,69.4,0,Placed,15.29
20,Female,8.13,MBA,0,1,36,68,92,44,77,60.7,0,Not Placed,0.0
21,Female,8.59,MECH,1,0,32,48,95,53,87,81.8,0,Not Placed,0.0
20,Female,7.16,CSE,3,2,66,79,84,91,38,74.4,0,Placed,12.55
25,Male,5.1,CSE,3,2,55,54,100,53,84,69.6,3,Not Placed,0.0
23,Male,8.23,ECE,3,2,54,83,69,86,74,66.9,0,Placed,13.69
24,Male,8.16,MECH,4,1,69,67,78,55,57,78.1,0,Placed,14.64
24,Male,5.55,CIVIL,1,1,72,77,92,78,57,94.8,3,Not Placed,0.0
22,Male,7.31,MECH,1,3,73,54,52,82,75,90.3,0,Not Placed,0.0
20,Female,9.58,CSE,0,4,100,54,57,43,54,60.2,0,Placed,17.03
20,Male,6.03,AIML,1,3,58,69,41,76,55,89.2,1,Not Placed,0.0
22,Female,7.31,ECE,0,3,86,96,42,53,91,62.9,0,Placed,12.36
22,Male,7.31,AIML,0,0,38,71,45,80,97,81.9,0,Not Placed,0.0
22,Female,9.05,CIVIL,4,0,51,79,67,62,96,91.2,0,Placed,15.12
23,Male,9.12,MECH,1,3,99,51,52,48,63,78.1,0,Placed,16.84
25,Male,8.8,CIVIL,1,4,35,59,59,63,50,75.1,0,Placed,12.54
20,Male,6.83,AIML,4,3,56,66,71,50,63,97.6,0,Placed,11.7
23,Male,5.36,MECH,4,1,81,41,99,67,73,61.2,3,Not Placed,0.0
22,Female,6.75,MBA,1,2,99,80,70,58,50,64.2,0,Not Placed,0.0
20,Male,8.4,MBA,1,3,78,61,100,58,47,94.8,0,Placed,14.24
23,Female,8.51,CIVIL,0,0,52,65,48,51,65,95.4,0,Not Placed,0.0
25,Female,9.83,MBA,2,4,50,79,42,86,99,74.9,0,Placed,15.81
23,Female,7.27,MBA,0,0,37,47,93,73,82,81.6,0,Not Placed,0.0
25,Male,8.16,CSE,3,1,83,75,70,51,49,66.6,0,Placed,15.14
22,Female,7.7,MBA,3,0,43,65,54,42,32,95.4,0,Not Placed,0.0
25,Male,5.75,CSE,2,0,60,76,43,69,37,78.8,2,Not Placed,0.0
20,Male,7.31,ECE,4,4,80,56,88,97,77,82.6,0,Placed,13.96
22,Female,7.72,CSE,3,4,91,96,56,86,52,64.7,0,Placed,14.82
20,Female,9.75,CSE,4,0,47,46,84,85,30,84.6,0,Placed,16.42
24,Male,6.83,AIML,4,0,76,40,98,90,31,87.8,0,Not Placed,0.0
21,Male,9.9,CSE,0,3,81,66,70,74,66,71.8,0,Placed,16.56
25,Male,7.71,CSE,4,1,66,81,68,54,80,95.8,0,Placed,13.82
21,Male,6.21,AIML,2,3,59,65,50,82,73,68.2,2,Not Placed,0.0
21,Male,5.96,CSE,0,4,59,71,100,61,53,95.9,3,Not Placed,0.0
25,Female,5.71,MBA,2,3,77,53,71,48,61,88.1,1,Not Placed,0.0
22,Female,7.26,CSE,4,3,68,58,79,67,85,93.2,0,Placed,13.2
24,Female,5.11,ECE,3,0,56,48,42,68,79,88.0,2,Not Placed,0.0
20,Male,7.23,CSE,4,0,45,82,89,78,93,77.1,0,Not Placed,0.0
23,Female,9.94,CSE,2,1,61,98,40,78,59,73.3,0,Placed,16.75
20,Female,8.35,ECE,1,2,58,83,47,78,67,89.4,0,Placed,13.07
23,Female,8.8,AIML,1,2,81,40,80,56,84,71.9,0,Placed,14.98
20,Male,5.6,MBA,3,3,44,93,56,43,32,62.5,3,Not Placed,0.0
25,Male,7.37,CSE,2,1,73,60,47,96,54,69.9,0,Not Placed,0.0
24,Male,6.43,MBA,3,1,52,59,82,43,74,90.2,3,Not Placed,0.0
23,Female,9.47,CIVIL,0,4,77,88,72,46,91,91.7,0,Placed,15.72
22,Female,5.91,MBA,4,0,52,94,65,41,36,71.1,2,Not Placed,0.0
20,Female,7.29,AIML,0,4,100,72,41,93,56,73.1,0,Placed,13.06
20,Male,7.94,AIML,1,2,43,72,86,76,52,82.0,0,Not Placed,0.0
23,Male,7.57,CSE,4,1,83,57,99,49,61,70.5,0,Placed,14.68
22,Male,9.15,ECE,0,2,99,80,88,57,31,84.2,0,Placed,16.27
22,Male,6.16,AIML,1,0,72,56,68,67,63,71.3,1,Not Placed,0.0
25,Male,6.89,ECE,0,0,74,95,54,98,81,64.8,0,Not Placed,0.0
